instance family sat vbs lad supplementallad vf2 glasgow1 glasgow2 glasgow3 glasgow4
si4_b09_m800.09 3 1 11 5222 3679 11 50 274 718 1360
si4_b09_m800.06 3 1 12 5328 3894 12 50 278 716 1363
si4_b09_m800.04 3 1 13 5251 3693 13 52 275 717 1371
si4_b09_m800.05 3 1 12 5047 3696 12 50 275 718 1361
si4_b09_m800.00 3 1 11 5383 3648 11 50 273 717 1358
si4_b09_m800.01 3 1 11 5250 3746 11 49 384 715 1360
si4_b09_m800.07 3 1 12 5249 3917 12 51 274 793 1359
si4_b09_m800.08 3 1 11 5348 3752 11 50 413 718 1370
si2_m4Dr4_m256.05 6 1 1 025 031 1 6 13 60 141
si2_m4Dr4_m256.02 6 1 1 010 014 1 4 8 22 91
si2_m4Dr4_m256.00 6 1 1 039 027 1 3 8 18 57
si2_m4Dr4_m256.07 6 1 1 042 048 1 6 13 26 80
si2_m4Dr4_m256.03 6 1 1 045 037 1 54 5 13 34
si2_m4Dr4_m256.06 6 1 1 012 010 1 4 13 31 80
si2_m4Dr4_m256.04 6 1 1 076 095 1 29 9 14 35
si2_m4Dr4_m256.09 6 1 1 015 017 1 2 4 12 30
si2_m4Dr4_m256.01 6 1 1 016 002 1 1 22 35 89
si2_m4Dr4_m256.08 6 1 1 049 056 1 45 10 27 63
si6_m4Dr2_m256.04 6 1 1 012 011 1 4 11 42 106
si6_m4Dr2_m256.08 6 1 1 011 010 1 6 18 45 113
si6_m4Dr2_m256.00 6 1 1 011 017 1 4 18 63 108
si6_m4Dr2_m256.07 6 1 1 009 010 1 8 33 84 203
si6_m4Dr2_m256.01 6 1 1 012 010 1 4 19 51 227
si6_m4Dr2_m256.09 6 1 1 010 017 1 6 60 71 232
si6_m4Dr2_m256.03 6 1 1 010 009 1 6 31 61 198
si6_m4Dr2_m256.05 6 1 1 013 009 1 4 13 27 113
si6_m4Dr2_m256.02 6 1 1 026 019 1 4 21 30 94
si6_m4Dr2_m256.06 6 1 2 030 014 2 7 13 45 63
si6_b06_m800.00 3 1 11 5483 3156 11 66 252 569 959
si6_b06_m800.05 3 1 10 5260 3289 10 74 269 576 957
si6_b06_m800.02 3 1 11 5221 3195 11 66 262 579 959
si6_b06_m800.07 3 1 11 5319 3308 11 67 253 569 982
si6_b06_m800.08 3 1 11 5230 3133 11 66 252 569 957
si6_b06_m800.09 3 1 11 5268 3150 11 66 253 569 976
si6_b06_m800.06 3 1 11 5224 3145 11 67 302 571 960
si6_b06_m800.01 3 1 11 5287 3267 11 66 271 572 982
si6_b06_m800.04 3 1 11 5267 3279 11 66 255 568 963
si6_b06_m800.03 3 1 10 5283 3175 10 66 252 682 962
si4_b09m_m800.06 4 1 15 129 115 15 35 152 604 1708
si4_b09m_m800.01 4 1 15 131 114 15 35 117 348 1225
si4_b09m_m800.02 4 1 15 130 112 15 43 206 1126 3670
si4_b09m_m800.08 4 1 15 133 115 15 35 98 316 1208
si4_b09m_m800.04 4 1 20 131 111 20 36 106 333 1207
si4_b09m_m800.03 4 1 15 128 114 15 35 95 258 923
si4_b09m_m800.09 4 1 15 140 117 15 37 165 437 1596
si4_b09m_m800.05 4 1 15 133 118 15 54 139 450 1294
si4_b09m_m800.00 4 1 15 132 114 15 37 218 752 2660
si4_b09m_m800.07 4 1 15 128 119 15 34 154 489 1751
si2_b06_m800.04 3 1 11 1634 1034 11 22 107 200 345
si2_b06_m800.07 3 1 9 1649 1041 9 20 86 199 344
si2_b06_m800.02 3 1 9 1637 1047 9 20 87 199 346
si2_b06_m800.00 3 1 8 1643 1042 8 20 156 208 345
si2_b06_m800.03 3 1 8 1635 1036 8 21 87 201 345
si2_b06_m800.05 3 1 8 1715 1043 8 20 86 200 344
si2_b06_m800.09 3 1 8 1644 1260 8 20 88 212 344
si2_b06_m800.01 3 1 10 1643 1051 10 20 89 199 346
si2_b06_m800.08 3 1 9 1640 1045 9 20 86 201 347
si2_b06_m800.06 3 1 10 1651 1044 10 20 86 210 345
si6_m4D_m256.03 5 1 2 059 068 2 6 18 51 123
si6_m4D_m256.08 5 1 1 041 047 1 8 20 89 118
si6_m4D_m256.07 5 1 2 049 056 2 6 33 50 185
si6_m4D_m256.00 5 1 1 047 058 1 19 31 49 98
si6_m4D_m256.01 5 1 1 053 053 1 6 19 49 102
si6_m4D_m256.05 5 1 2 047 056 2 6 19 50 108
si6_m4D_m256.09 5 1 5 117 147 4979324 5 12 34 108
si6_m4D_m256.04 5 1 1 047 056 1 6 18 52 103
si6_m4D_m256.02 5 1 1 053 061 1 6 18 49 101
si6_m4D_m256.06 5 1 1 045 056 1 6 18 49 101
si2_b06m_m800.07 4 1 9 044 041 9 17 92 234 671
si2_b06m_m800.02 4 1 9 041 055 9 16 75 243 499
si2_b06m_m800.03 4 1 10 044 059 10 23 74 198 524
si2_b06m_m800.01 4 1 10 043 035 10 14 63 106 291
si2_b06m_m800.08 4 1 9 048 041 9 23 94 396 651
si2_b06m_m800.04 4 1 9 047 039 9 16 78 192 728
si2_b06m_m800.06 4 1 9 058 039 9 14 71 179 485
si2_b06m_m800.09 4 1 9 042 037 9 14 77 244 662
si2_b06m_m800.05 4 1 10 042 038 10 17 61 142 396
si2_b06m_m800.00 4 1 9 057 037 9 15 72 180 490
si4_b06m_m200.00 4 1 1 005 004 1 1 12 18 45
si4_b06m_m200.08 4 1 1 005 007 1 1 5 14 36
si4_b06m_m200.05 4 1 1 004 003 1 2 8 17 53
si4_b06m_m200.09 4 1 1 006 003 1 1 7 12 32
si4_b06m_m200.01 4 1 1 007 006 1 1 10 22 56
si4_b06m_m200.07 4 1 1 005 003 1 2 10 21 48
si4_b06m_m200.02 4 1 1 005 004 1 1 25 68 172
si4_b06m_m200.04 4 1 1 004 007 1 2 12 29 70
si4_b06m_m200.06 4 1 1 005 006 1 2 5 21 34
si4_b06m_m200.03 4 1 1 005 006 1 1 12 19 46
si6_r001_m400.09 7 1 49 1031 271 1e8 64 49 190 616
si6_r001_m400.05 7 1 48 936 624 1e8 1467 48 176 625
si6_r001_m400.00 7 1 21 858 399 1e8 21 58 187 634
si6_r001_m400.04 7 1 47 1973 685 1e8 78 47 173 607
si6_r001_m400.07 7 1 12 1333 094 1e8 12 75 188 617
si6_r001_m400.06 7 1 42 733 513 1e8 42 57 175 612
si6_r001_m400.02 7 1 24 782 071 1e8 24 49 175 603
si6_r001_m400.03 7 1 14 1288 162 1e8 14 47 175 615
si6_r001_m400.08 7 1 18 1760 675 1e8 18 81 168 586
si6_r001_m400.01 7 1 15 569 312 1e8 15 69 191 667
si6_m4D_m625.00 5 1 7 176 213 7 55 181 276 436
si6_m4D_m625.07 5 1 79 1354 1687 1e8 79 86 177 326
si6_m4D_m625.05 5 1 476 2481 3041 1e8 3591 476 515 684
si6_m4D_m625.08 5 1 7 264 320 7 54 181 256 435
si6_m4D_m625.02 5 1 7 247 301 7 58 209 238 436
si6_m4D_m625.03 5 1 793 22694 28498 1e8 1718 793 838 947
si6_m4D_m625.04 5 1 7 254 329 7 88 198 311 435
si6_m4D_m625.09 5 1 422 1681 2114 1e8 3278 422 513 452
si6_m4D_m625.01 5 1 7 198 237 7 57 180 236 449
si6_m4D_m625.06 5 1 100 1144 1358 1e8 109 100 182 469
si6_b09m_m800.02 4 1 18 201 277 18 69 130 689 2505
si6_b09m_m800.09 4 1 18 189 155 18 59 152 540 1704
si6_b09m_m800.04 4 1 19 190 154 19 61 170 547 1990
si6_b09m_m800.07 4 1 18 195 161 18 65 408 1314 4862
si6_b09m_m800.00 4 1 21 194 158 21 58 132 404 1592
si6_b09m_m800.05 4 1 18 200 167 18 58 237 845 3082
si6_b09m_m800.03 4 1 18 187 157 18 76 164 515 1889
si6_b09m_m800.01 4 1 19 191 156 19 60 180 569 2082
si6_b09m_m800.06 4 1 19 192 156 19 61 307 866 3110
si6_b09m_m800.08 4 1 18 192 160 18 61 145 861 2965
si4_m4Dr6_m1296.01 6 1 37 250 340 37 96 249 569 1685
si4_m4Dr6_m1296.07 6 1 37 2214 918 37 99 467 1146 3388
si4_m4Dr6_m1296.06 6 1 36 742 877 36 96 227 544 1563
si4_m4Dr6_m1296.02 6 1 35 247 263 35 125 389 954 2964
si4_m4Dr6_m1296.08 6 1 37 260 255 37 126 367 938 2810
si4_m4Dr6_m1296.03 6 1 35 242 248 35 99 235 597 1698
si4_m4Dr6_m1296.00 6 1 36 3177 2841 36 116 490 1227 4041
si4_m4Dr6_m1296.09 6 1 36 773 375 36 128 235 664 1807
si4_m4Dr6_m1296.05 6 1 36 368 273 36 93 250 539 1578
si4_m4Dr6_m1296.04 6 1 37 249 249 37 130 392 961 2922
si2_b06_m400.09 3 1 2 235 154 2 4 38 51 94
si2_b06_m400.02 3 1 2 230 211 2 6 23 51 93
si2_b06_m400.00 3 1 2 227 152 2 7 22 52 93
si2_b06_m400.03 3 1 2 232 153 2 4 23 52 94
si2_b06_m400.07 3 1 3 225 152 3 4 38 51 93
si2_b06_m400.04 3 1 2 226 156 2 6 24 57 96
si2_b06_m400.05 3 1 2 226 151 2 4 22 51 93
si2_b06_m400.01 3 1 2 224 151 2 8 22 52 93
si2_b06_m400.08 3 1 2 230 153 2 4 22 51 93
si2_b06_m400.06 3 1 2 233 151 2 6 23 52 93
si4_r01_m200.01 7 1 385 125967 67474 1e8 385 684 795 4642
si4_r01_m200.08 7 1 3325 336418 237649 1e8 3325 3825 4631 9018
si4_r01_m200.03 7 1 37 40619 45679 1e8 37 114 256 4029
si4_r01_m200.04 7 1 8 124440 107735 1e8 8 49 335 4107
si4_r01_m200.07 7 1 49 698628 13861 1e8 49 104 276 4059
si4_r01_m200.02 7 1 1273 833726 279601 1e8 1273 1503 1899 5913
si4_r01_m200.05 7 1 589 1275437 641 1e8 589 774 1034 4894
si4_r01_m200.06 7 1 10 22057 7667 1e8 10 57 224 4081
si4_r01_m200.00 7 1 711 2613755 44595 1e8 711 906 1218 5218
si4_r01_m200.09 7 1 448 94064 35662 1e8 448 581 832 4749
si2_r001_m400.06 7 1 195 609770 45099 1e8 1e8 2540 195 288
si2_r001_m400.08 7 1 44 9669 3527 1e8 434349 44 62 132
si2_r001_m400.09 7 1 180 28282 9081 1e8 1e8 1724 180 272
si2_r001_m400.01 7 1 15 336 528 1e8 176133 15 45 128
si2_r001_m400.03 7 1 68 5397 5979 1e8 94533 68 87 176
si2_r001_m400.04 7 1 215 480 215 1e8 1e8 19025 312 405
si2_r001_m400.05 7 1 65 1154 868 1e8 1e8 288 65 173
si2_r001_m400.02 7 1 30 210 198 1e8 1e8 30 72 123
si2_r001_m400.00 7 1 33 1397 1091 1e8 213 33 49 136
si2_r001_m400.07 7 1 54 179941 577 1e8 1e8 88366 54 131
si4_b03m_m800.03 4 1 8 051 053 8 26 45 148 316
si4_b03m_m800.05 4 1 8 050 048 8 26 70 104 391
si4_b03m_m800.06 4 1 8 049 048 8 27 121 279 280
si4_b03m_m800.01 4 1 8 047 049 8 37 69 234 303
si4_b03m_m800.08 4 1 8 049 048 8 36 69 141 204
si4_b03m_m800.09 4 1 8 047 044 8 40 76 131 193
si4_b03m_m800.00 4 1 9 051 052 9 39 100 157 313
si4_b03m_m800.02 4 1 8 049 052 8 27 70 105 154
si4_b03m_m800.07 4 1 8 046 051 8 57 69 147 277
si4_b03m_m800.04 4 1 8 047 053 8 36 74 137 199
si2_r01_m200.03 7 1 6946 29690594 5684370 1e8 6946 7375 8601 13504
si2_r01_m200.00 7 1 4747 32088834 415928 1e8 4747 6648 7800 12758
si2_r01_m200.05 7 1 743 57713245 185642 1e8 743 904 1177 5040
si2_r01_m200.01 7 1 443 209303 208504 1e8 443 469 736 4440
si2_r01_m200.08 7 1 3116 1320542 12038 1e8 3116 3672 4273 8604
si2_r01_m200.06 7 1 1405 2723329 928301 1e8 1405 1858 1916 5849
si2_r01_m200.09 7 1 25897 656350 2096483 1e8 25897 28517 33533 41486
si2_r01_m200.02 7 1 8384 5161262 321901 1e8 8384 9459 10927 16156
si2_r01_m200.07 7 1 2003 62819480 5603423 1e8 2003 2432 2897 7064
si2_r01_m200.04 7 1 557 476983 14135 1e8 557 661 878 4718
si2_r01_m400.04 7 1 10953 1e8 98319001 1e8 10953 13305 18003 149558
si2_r01_m400.00 7 1 47964 1e8 55505857 1e8 47964 57389 70410 208834
si2_r01_m400.07 7 1 9915 1e8 1e8 1e8 9915 12012 16123 145708
si2_r01_m400.09 7 1 351807 1e8 1e8 1e8 351807 396742 494611 689896
si2_r01_m400.01 7 1 6169 1e8 1e8 1e8 6169 7267 10570 140316
si2_r01_m400.03 7 1 673 1e8 7096450 1e8 673 958 3128 131899
si2_r01_m400.02 7 1 68992 1e8 80599976 1e8 68992 81448 98268 241830
si2_r01_m400.05 7 1 60263 1e8 4858214 1e8 60263 71778 87343 229398
si2_r01_m400.06 7 1 2139 1e8 5041222 1e8 2139 2589 4939 131542
si2_r01_m400.08 7 1 11509 53002994 77135029 1e8 11509 13890 18411 149259
si4_m4D_m625.09 5 1 6 182 187 6 25 148 170 333
si4_m4D_m625.03 5 1 6 232 301 6 42 131 187 389
si4_m4D_m625.07 5 1 42 538 676 1e8 42 51 114 218
si4_m4D_m625.02 5 1 6 945 1124 6 108 100 140 235
si4_m4D_m625.00 5 1 6 198 446 6 28 122 173 359
si4_m4D_m625.01 5 1 90 1128 1359 1e8 102 90 131 233
si4_m4D_m625.04 5 1 6 112 131 6 33 118 143 292
si4_m4D_m625.06 5 1 6 173 207 6 27 135 167 340
si4_m4D_m625.08 5 1 297 862 1024 43069 490 297 313 431
si4_m4D_m625.05 5 1 6 191 236 6 18 91 270 366
si6_m4Dr6_m256.05 6 1 1 030 018 1 6 13 36 102
si6_m4Dr6_m256.04 6 1 2 024 014 2 7 42 73 213
si6_m4Dr6_m256.03 6 1 2 012 021 2 4 12 34 98
si6_m4Dr6_m256.02 6 1 2 011 018 2 4 13 36 99
si6_m4Dr6_m256.08 6 1 2 012 011 2 4 19 30 87
si6_m4Dr6_m256.00 6 1 2 038 021 2 5 26 74 208
si6_m4Dr6_m256.09 6 1 2 014 016 2 7 14 55 149
si6_m4Dr6_m256.07 6 1 1 022 012 1 7 36 76 191
si6_m4Dr6_m256.06 6 1 2 011 013 2 6 20 53 144
si6_m4Dr6_m256.01 6 1 2 012 010 2 5 20 60 167
si6_b09_m400.07 3 1 3 1144 839 3 16 106 268 529
si6_b09_m400.03 3 1 5 1050 1523 5 16 105 269 528
si6_b09_m400.04 3 1 4 1148 836 4 16 138 268 529
si6_b09_m400.06 3 1 4 1197 838 4 16 105 268 530
si6_b09_m400.05 3 1 4 1049 836 4 16 125 269 534
si6_b09_m400.09 3 1 3 1188 933 3 29 123 274 528
si6_b09_m400.02 3 1 3 1136 852 3 17 105 269 529
si6_b09_m400.01 3 1 3 1192 837 3 16 128 269 537
si6_b09_m400.08 3 1 4 1139 843 4 16 105 267 528
si6_b09_m400.00 3 1 3 1121 979 3 17 104 268 544
si6_b06_m400.03 3 1 3 753 722 3 13 68 142 251
si6_b06_m400.08 3 1 3 731 466 3 14 101 234 250
si6_b06_m400.07 3 1 3 732 496 3 13 67 144 251
si6_b06_m400.04 3 1 3 720 464 3 14 109 143 305
si6_b06_m400.05 3 1 3 753 465 3 14 67 145 251
si6_b06_m400.06 3 1 3 752 464 3 13 79 143 251
si6_b06_m400.02 3 1 3 727 463 3 14 64 144 251
si6_b06_m400.01 3 1 3 731 466 3 13 63 142 250
si6_b06_m400.00 3 1 3 745 464 3 13 92 143 251
si6_b06_m400.09 3 1 3 751 463 3 13 63 142 251
si6_b03m_m200.04 4 1 1 004 003 1 3 6 29 39
si6_b03m_m200.07 4 1 0 005 004 0 3 11 11 38
si6_b03m_m200.08 4 1 0 004 006 0 3 6 10 16
si6_b03m_m200.02 4 1 0 005 005 0 2 8 13 26
si6_b03m_m200.03 4 1 0 004 004 0 3 6 18 26
si6_b03m_m200.06 4 1 0 003 007 0 4 6 13 34
si6_b03m_m200.01 4 1 0 004 006 0 2 11 10 28
si6_b03m_m200.09 4 1 1 004 003 1 2 10 21 20
si6_b03m_m200.00 4 1 1 006 005 1 4 10 14 18
si6_b03m_m200.05 4 1 0 006 004 0 3 6 14 27
si4_b06_m800.04 3 1 9 3449 2093 9 43 178 380 647
si4_b06_m800.00 3 1 12 3858 2104 12 40 194 380 648
si4_b06_m800.08 3 1 9 3422 2087 9 40 166 382 648
si4_b06_m800.05 3 1 10 3410 2100 10 40 167 381 647
si4_b06_m800.03 3 1 10 3437 2091 10 40 194 381 647
si4_b06_m800.06 3 1 10 3540 2089 10 40 187 380 650
si4_b06_m800.07 3 1 10 3418 2104 10 40 241 382 647
si4_b06_m800.01 3 1 10 3397 2097 10 54 169 381 647
si4_b06_m800.02 3 1 9 3361 2094 9 40 169 380 647
si4_b06_m800.09 3 1 9 3381 2199 9 40 190 383 667
si6_b09m_m200.07 4 1 1 016 009 1 4 17 56 132
si6_b09m_m200.06 4 1 2 012 010 2 3 12 42 120
si6_b09m_m200.01 4 1 1 012 012 1 3 34 79 199
si6_b09m_m200.08 4 1 2 012 011 2 5 23 45 112
si6_b09m_m200.00 4 1 2 012 010 2 4 27 82 191
si6_b09m_m200.09 4 1 2 014 010 2 4 21 76 193
si6_b09m_m200.02 4 1 1 017 010 1 3 26 92 221
si6_b09m_m200.05 4 1 2 020 018 2 3 28 91 212
si6_b09m_m200.03 4 1 1 018 008 1 4 11 37 97
si6_b09m_m200.04 4 1 2 014 009 2 3 19 63 154
si4_b09m_m400.07 4 1 4 031 028 4 7 79 173 521
si4_b09m_m400.06 4 1 4 056 029 4 8 54 180 547
si4_b09m_m400.00 4 1 4 030 026 4 7 28 96 291
si4_b09m_m400.08 4 1 4 033 028 4 7 33 102 315
si4_b09m_m400.04 4 1 4 057 030 4 7 32 104 338
si4_b09m_m400.09 4 1 4 034 029 4 10 26 89 300
si4_b09m_m400.02 4 1 5 035 029 5 7 46 149 457
si4_b09m_m400.03 4 1 6 030 028 6 7 31 106 335
si4_b09m_m400.01 4 1 4 036 024 4 7 29 89 279
si4_b09m_m400.05 4 1 4 029 043 4 9 45 153 450
si6_m4Dr4_m1296.03 6 1 42 377 345 42 160 546 1367 3835
si6_m4Dr4_m1296.06 6 1 41 628 355 41 217 595 1464 4251
si6_m4Dr4_m1296.04 6 1 43 349 355 43 161 348 1237 3367
si6_m4Dr4_m1296.01 6 1 41 356 340 41 163 341 738 2044
si6_m4Dr4_m1296.09 6 1 41 331 557 41 212 533 1256 3325
si6_m4Dr4_m1296.02 6 1 42 573 359 42 170 376 988 2582
si6_m4Dr4_m1296.08 6 1 46 345 337 46 164 342 841 2206
si6_m4Dr4_m1296.05 6 1 42 862 364 42 167 369 860 2455
si6_m4Dr4_m1296.07 6 1 42 491 361 42 165 615 1620 4679
si6_m4Dr4_m1296.00 6 1 41 331 350 41 163 329 699 1887
si6_b06_m200.09 3 1 0 112 077 0 3 26 43 64
si6_b06_m200.03 3 1 1 115 076 1 4 26 36 89
si6_b06_m200.05 3 1 1 115 077 1 3 15 38 64
si6_b06_m200.00 3 1 1 114 083 1 3 16 36 64
si6_b06_m200.08 3 1 1 112 077 1 3 15 54 64
si6_b06_m200.02 3 1 1 116 076 1 3 26 36 65
si6_b06_m200.06 3 1 0 112 075 0 5 15 36 65
si6_b06_m200.04 3 1 0 108 077 0 5 15 36 66
si6_b06_m200.01 3 1 1 113 079 1 3 22 36 65
si6_b06_m200.07 3 1 1 110 079 1 5 15 41 64
si4_m4Dr6_m625.02 6 1 8 052 060 8 19 52 239 388
si4_m4Dr6_m625.06 6 1 8 400 253 8 183 96 281 840
si4_m4Dr6_m625.03 6 1 8 161 053 8 27 51 142 423
si4_m4Dr6_m625.07 6 1 8 591 534 8 57 59 160 464
si4_m4Dr6_m625.08 6 1 8 057 049 8 20 46 120 353
si4_m4Dr6_m625.09 6 1 8 059 098 8 21 51 236 393
si4_m4Dr6_m625.00 6 1 8 060 054 8 23 49 132 389
si4_m4Dr6_m625.01 6 1 8 158 053 8 19 52 130 388
si4_m4Dr6_m625.05 6 1 8 055 050 8 19 51 127 367
si4_m4Dr6_m625.04 6 1 12 060 054 12 19 149 222 661
si6_b06m_m200.09 4 1 1 005 009 1 2 11 34 89
si6_b06m_m200.02 4 1 1 008 006 1 4 6 19 40
si6_b06m_m200.05 4 1 1 010 006 1 2 18 27 67
si6_b06m_m200.00 4 1 1 008 010 1 2 6 29 68
si6_b06m_m200.07 4 1 2 012 006 2 2 14 74 176
si6_b06m_m200.04 4 1 1 014 009 1 4 11 28 65
si6_b06m_m200.08 4 1 1 007 007 1 2 14 26 69
si6_b06m_m200.06 4 1 1 011 007 1 2 8 15 37
si6_b06m_m200.03 4 1 1 007 005 1 2 14 57 150
si6_b06m_m200.01 4 1 1 007 006 1 2 32 52 129
si6_m4Dr4_m256.05 6 1 1 027 012 1 4 31 111 288
si6_m4Dr4_m256.03 6 1 1 048 016 1 5 23 94 262
si6_m4Dr4_m256.02 6 1 1 012 012 1 6 21 61 162
si6_m4Dr4_m256.01 6 1 2 009 020 2 6 28 54 141
si6_m4Dr4_m256.08 6 1 2 069 031 2 5 14 37 98
si6_m4Dr4_m256.09 6 1 1 068 022 1 4 22 34 92
si6_m4Dr4_m256.07 6 1 1 037 023 1 6 22 61 164
si6_m4Dr4_m256.06 6 1 2 035 032 2 9 39 82 167
si6_m4Dr4_m256.04 6 1 1 015 012 1 7 33 76 202
si6_m4Dr4_m256.00 6 1 1 045 012 1 6 23 63 163
si4_r001_m600.01 7 1 111 10651 5232 1e8 391 111 424 1469
si4_r001_m600.08 7 1 113 24058 2646 1e8 4784 113 430 1478
si4_r001_m600.02 7 1 109 28829 3502 1e8 3543 109 474 1577
si4_r001_m600.07 7 1 98 4245 1298 1e8 395 98 418 1452
si4_r001_m600.05 7 1 38 3534 2539 1e8 38 101 436 1530
si4_r001_m600.06 7 1 108 13636 16698 1e8 3075 108 461 1566
si4_r001_m600.00 7 1 119 130365 3125 1e8 297 119 454 1549
si4_r001_m600.04 7 1 98 4656 2312 1e8 1421 98 401 1430
si4_r001_m600.09 7 1 121 6213 3605 1e8 357 121 445 1541
si4_r001_m600.03 7 1 102 213061 3163 1e8 7785 102 421 1490
si2_b09m_m200.08 4 1 1 004 003 1 2 16 50 98
si2_b09m_m200.06 4 1 1 003 004 1 1 6 14 40
si2_b09m_m200.03 4 1 1 005 003 1 1 12 27 64
si2_b09m_m200.09 4 1 1 004 004 1 1 6 18 39
si2_b09m_m200.04 4 1 1 005 006 1 1 8 29 66
si2_b09m_m200.00 4 1 1 004 003 1 2 24 49 98
si2_b09m_m200.01 4 1 0 004 004 0 1 3 14 38
si2_b09m_m200.05 4 1 1 006 002 1 1 4 16 41
si2_b09m_m200.07 4 1 1 003 006 1 1 6 23 58
si2_b09m_m200.02 4 1 001 009 001 1 2 7 24 56
si6_b03_m200.01 3 1 0 051 066 0 3 9 13 23
si6_b03_m200.03 3 1 0 051 122 0 4 9 12 22
si6_b03_m200.04 3 1 0 051 066 0 2 8 12 22
si6_b03_m200.08 3 1 1 052 067 1 2 14 15 22
si6_b03_m200.07 3 1 0 053 068 0 2 10 12 22
si6_b03_m200.09 3 1 0 055 066 0 4 6 12 22
si6_b03_m200.05 3 1 0 055 067 0 2 6 12 22
si6_b03_m200.02 3 1 1 052 121 1 2 12 12 28
si6_b03_m200.06 3 1 0 051 068 0 2 7 19 22
si6_b03_m200.00 3 1 0 053 067 0 2 9 22 39
si6_b09_m200.09 3 1 1 161 139 1 4 25 67 136
si6_b09_m200.06 3 1 1 164 158 1 5 25 68 135
si6_b09_m200.08 3 1 1 175 141 1 4 25 68 135
si6_b09_m200.03 3 1 1 229 139 1 4 25 67 135
si6_b09_m200.00 3 1 1 171 138 1 4 27 82 137
si6_b09_m200.02 3 1 1 170 148 1 5 25 67 137
si6_b09_m200.07 3 1 1 170 142 1 5 25 68 137
si6_b09_m200.04 3 1 1 186 142 1 4 28 67 135
si6_b09_m200.01 3 1 1 169 230 1 6 35 68 135
si6_b09_m200.05 3 1 1 168 239 1 6 44 79 136
g10-g11 2 0 0 000 000 0 0 0 0 1
g10-g12 2 0 0 002 000 0 0 1 1 6
g10-g13 2 0 0 000 001 1217698 0 0 1 4
g10-g14 2 0 0 000 000 68203 0 1 1 4
g10-g15 2 0 0 001 000 30555952 0 2 3 10
g10-g16 2 0 11 051 019 137592 34 11 15 35
g10-g20 2 1 0 014 018 3 0 3 10 142
g10-g21 2 1 0 029 031 0 0 5 97 5103
g10-g22 2 0 002 003 002 13129 13 3 11 14
g10-g23 2 0 129410 233994 129410 1e8 328673 299182 320634 397464
g10-g25 2 0 0 000 000 59676520 0 1 2 5
g10-g26 2 0 267746 471878 267746 1e8 1777587 1042112 1112211 1351022
g10-g27 2 1 6997175 1e8 1e8 1e8 6997175 7791761 8136311 10326530
g10-g28 2 0 0 000 000 0 0 0 1 1
g10-g29 2 1 0 034 030 31406 0 5 12 113
g10-g30 2 1 5 030 049 20754 5 5 23 119
g10-g31 2 1 0 030 033 116 0 3 14 159
g10-g32 2 1 0 054 059 1 0 10 732 68070
g10-g33 2 0 0 010 007 2793 0 1 4 10
g10-g37 2 0 3379 187345 67388 1e8 68463 3379 13859 16814
g10-g38 2 0 0 001 000 0 0 2 2 9
g10-g40 2 1 1 061 069 1 1 6 208 11047
g10-g41 2 0 0 007 006 2154 0 3 8 12
g10-g42 2 0 12 386 330 11862036 672 12 17 31
g10-g43 2 1 1 6221 4171 1e8 1 20 22 119
g10-g44 2 1 2 052 036 153 2 8 21 120
g10-g45 2 1 1 032 033 133 1 9 22 124
g10-g46 2 1 816 87462 3670 9678561 1127 816 894 1160
g10-g47 2 1 1668 76358 3595 51949413 2255 1668 1801 2290
g10-g48 2 1 15 1192 2140 20150 15 45 42 124
g10-g49 2 1 028 035 028 1e8 1e8 1e8 1e8 1e8
g10-g50 2 1 1 081 079 1 1 6 224 9449
g11-g12 2 0 0 000 001 1e8 0 2 1 6
g11-g13 2 0 0 000 000 1544558 0 0 1 4
g11-g14 2 0 0 000 000 63571 0 0 1 3
g11-g15 2 0 0 000 000 39745246 0 0 2 9
g11-g16 2 0 0 003 006 96554 0 1 2 5
g11-g20 2 1 7 923 21737 317975 8 7 18 148
g11-g21 2 1 0 047 074 0 0 3 101 5081
g11-g22 2 0 0 002 002 16992 0 1 3 4
g11-g23 2 0 3 031 031 1e8 14 3 7 20
g11-g25 2 0 0 000 000 635688 0 0 2 5
g11-g26 2 0 2 016 027 1e8 10 2 6 17
g11-g27 2 0 66625 185557 81904 1e8 68639 66625 70274 82054
g11-g28 2 0 0 000 000 0 0 1 1 3
g11-g29 2 0 3750 1e8 64459 1e8 4135 3750 3961 4628
g11-g30 2 0 3411 1e8 56360 1e8 3725 3411 3578 4168
g11-g31 2 0 23053 1e8 491142 1e8 23638 23053 24318 27851
g11-g32 2 1 0 080 114 1 0 10 735 67277
g11-g33 2 0 0 000 001 3678 0 1 2 6
g11-g37 2 0 4 199 383 67760045 22 4 11 30
g11-g38 2 0 0 000 000 1e8 0 2 5 23
g11-g40 2 1 1 093 087 698 1 12 210 11103
g11-g41 2 0 0 000 000 2785 0 2 5 7
g11-g42 2 0 1 040 048 833266 1 5 7 26
g11-g43 2 1 035 035 8483 1e8 1e8 1e8 1e8 1e8
g11-g44 2 0 15979 461504 281120 1e8 17172 15979 16904 20013
g11-g45 2 0 15385 431422 265189 1e8 16498 15385 16299 19248
g11-g46 2 0 84 804 926 1e8 154 84 98 169
g11-g47 2 0 82 797 930 1e8 148 82 95 167
g11-g48 2 0 195 1769 1993 1e8 293 195 214 322
g11-g49 2 0 4647900 42027072 7093010 1e8 13459777 4647900 5090620 6032758
g11-g50 2 1 1 114 108 1e8 1 10 172 9556
